UserID,Username,Password,Email,UserType,CreationDate
1,moorekayla,DUrW7DMq(y,mary99@example.com,Customer,2020-03-23 20:15:49
2,andrea76,Fm)5W#xr)+,simsshirley@example.org,PlatformAdmin,2021-05-15 05:54:19
3,asmith,i)U+z8Ygb&,jacoblynn@example.org,Customer,2022-06-11 02:17:19
4,rebecca42,56aCsUmt$!,samantha15@example.org,Driver,2023-07-24 03:55:40
5,anita93,4o0Oj1$i)),mlopez@example.org,RestaurantAdmin,2024-01-18 09:19:55
6,josephhector,)8U5Wg2deN,vargasbrian@example.org,Driver,2022-06-14 10:27:09
7,scooper,5*1ZKadE#$,rosetara@example.org,Customer,2021-05-18 14:33:14
8,martha09,_yck9VFS^6,vanessa24@example.com,PlatformAdmin,2023-08-02 17:57:53
9,millergary,zg508WtPy^,marioanderson@example.net,Driver,2022-05-24 13:44:51
10,sdavis,)*(VS1ldc0,allenstephanie@example.com,RestaurantAdmin,2023-03-22 04:25:18
11,zjohnson,utx@9Yg&$M,dawn27@example.com,RestaurantAdmin,2022-03-21 05:13:48
12,ltaylor,$2(4NAf8Fn,tswanson@example.net,Customer,2024-02-12 22:24:48
13,fergusonwilliam,^iP_CLz+1Q,rsmith@example.net,Customer,2022-10-24 14:19:47
14,ngarza,%3vm%Uawno,goodwinangela@example.net,RestaurantAdmin,2020-04-30 07:16:11
15,njenkins,u(8SgJu_r$,kylebrown@example.com,PlatformAdmin,2020-11-15 21:02:06
16,dhuerta,!kK8gBJxld,xbanks@example.com,Driver,2022-05-28 12:09:59
17,courtney58,#W+TSEHeE8,lauren90@example.net,PlatformAdmin,2022-08-30 18:57:44
18,whitesusan,Z!S7CTi02c,mcfarlanddaniel@example.com,RestaurantAdmin,2023-04-10 12:05:53
19,robertsdeborah,(@$247Qa_t,amanda09@example.net,PlatformAdmin,2021-08-24 06:45:27
20,audrey85,ZR$2Ff_V@8,ygonzales@example.org,Driver,2020-09-04 00:46:03
21,jaredjones,4$72Ht*^6J,comptonscott@example.net,PlatformAdmin,2022-05-18 12:53:04
22,ricardogarcia,cj3HRgFH)0,rzimmerman@example.com,PlatformAdmin,2020-06-20 16:06:48
23,joycechristine,Ea)D6VcTz&,andreapage@example.net,PlatformAdmin,2020-06-14 10:43:01
24,gutierreztara,!41vUqoxK5,jared05@example.org,RestaurantAdmin,2023-08-16 19:47:20
25,john68,W0R8+C0b1%,nadams@example.com,RestaurantAdmin,2021-06-04 23:20:09
26,johnsonvalerie,l2NBoLl@@c,morrowkaren@example.net,Customer,2021-09-19 19:06:26
27,debbiekirby,(64QVogQ%!,david97@example.org,Driver,2020-02-16 03:33:52
28,hayesmargaret,%0vkUsk8e7,kharper@example.net,Customer,2021-07-22 03:25:39
29,opatterson,!4ETib7T^P,meaganwest@example.com,Customer,2022-08-16 12:44:14
30,ross91,#3i0ZbGosx,rnelson@example.net,Driver,2022-05-30 11:12:27
31,villegasdustin,)oV@6OzjWG,john02@example.com,Driver,2021-01-12 23:12:19
32,xreed,D!4iEdZi#%,hkennedy@example.org,RestaurantAdmin,2023-06-26 15:19:41
33,ashlee59,n!IL98Bw)Q,slopez@example.com,Driver,2021-01-26 21:33:39
34,john04,p$5Kfbn9&6,mathewmiller@example.org,Customer,2020-09-02 17:07:20
35,heathergrant,kyo65Tlm1&,mrogers@example.com,RestaurantAdmin,2022-08-18 12:29:03
36,rtaylor,qJ)_4Res$1,kingstephen@example.org,PlatformAdmin,2024-01-25 18:35:15
37,angela12,#C6zQpSC%!,connie31@example.net,PlatformAdmin,2021-08-04 20:24:04
38,charlesjackson,^P0hMTxd_y,vincentmills@example.org,PlatformAdmin,2023-05-19 03:25:02
39,martinkeith,JAHB1Cds_Y,qwatson@example.org,Customer,2021-12-05 15:29:13
40,marychen,H!Hku+pp#0,bjones@example.com,PlatformAdmin,2023-01-20 05:16:32
41,ogreen,u0XBH30s$B,tammy06@example.net,Customer,2022-04-22 07:18:32
42,zhanganna,+1pUT!jcGK,harrispaul@example.org,Driver,2021-03-07 13:32:52
43,christopher99,e8f1rKxo_O,bakererik@example.com,RestaurantAdmin,2021-04-23 07:20:11
44,merrittjesse,g3nDiNG+&c,john57@example.net,PlatformAdmin,2021-03-21 20:50:12
45,sweeneyerica,1BJ0MwWB+h,aaronpreston@example.com,Customer,2020-03-23 20:41:53
